title,experienceLevel,Skills,state,companyName,Salary,contractType,city
Front-end Engineer/Web Developer (SDE 1 & 2),Entry level,"Communication, Leadership, Teamwork",Karnataka,BOX8,674024,Full-time,Bengaluru
Android Developer-SDE 1 & 2(Software Development Engineer),Entry level,"React, JavaScript, HTML, CSS",Karnataka,BOX8,777882,Full-time,Bengaluru
Software Engineer,Not Applicable,"Data Analysis, Excel, Power BI",Telangana,Microsoft,1332224,Full-time,Hyderabad
Software Engineer,Not Applicable,"Data Analysis, Excel, Power BI",Uttar Pradesh,Microsoft,914640,Full-time,Noida
Software Engineer - Fullstack,Not Applicable,"React, JavaScript, HTML, CSS",Karnataka,LinkedIn,717362,Full-time,Bengaluru
"Software Engineer, Systems Infrastructure",Not Applicable,"Python, SQL, Machine Learning",Karnataka,LinkedIn,670715,Full-time,Bengaluru
Software Engineer - Front-end Developer,Entry level,"C++, Data Structures, Algorithms",Kerala,Nissan Motor Corporation,1413929,Full-time,Trivandrum
SDE 1 (Frontend),Entry level,"AWS, Docker, Kubernetes",Karnataka,Furrl,493063,Full-time,Bengaluru
Software Engineer - Applications,Not Applicable,"Data Analysis, Excel, Power BI",Karnataka,LinkedIn,1346995,Full-time,Bengaluru
Frontend Developer,Entry level,"AWS, Docker, Kubernetes",Madhya Pradesh,Cibirix Inc.,1153824,Full-time,Indore
Software Development Engineer 1 (SDE-1),Mid-Senior level,"Communication, Leadership, Teamwork",Karnataka,Publicis Sapient,661083,Full-time,Bengaluru
Software Engineer II,Associate,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,Uber,416179,Full-time,Bengaluru
Software Engineer- Java,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Haryana,MakeMyTrip,1130676,Full-time,Gurugram
Software Engineer,Mid-Senior level,"Python, SQL, Machine Learning",Haryana,Times Internet,847526,Full-time,Gurugram
Junior Software Developer,Entry level,"Cybersecurity, Network Security, Ethical Hacking",Maharashtra,Konnect Insights,626430,Full-time,Mumbai
Junior Software Developer,Entry level,"AWS, Docker, Kubernetes",Maharashtra,Konnect Insights,963870,Full-time,Navi Mumbai
"Software Engineer II, Full Stack, Google Cloud",Not Applicable,"Data Analysis, Excel, Power BI",Karnataka,Google,434787,Full-time,Bengaluru
Jr. Frontend Developer,Entry level,"Communication, Leadership, Teamwork",Maharashtra,Schbang,1227857,Full-time,Mumbai
Software Engineer,Entry level,"AWS, Docker, Kubernetes",Karnataka,Fi,612516,Full-time,Bengaluru
